Date,open,high,low,close,adj close,volume
2020-02-19,12.82,13.04,12.76,12.88,12.88,116649.0
2020-02-18,13.28,13.44,12.66,12.82,12.82,281501.0
2020-02-17,13.1,13.34,13.0,13.28,13.28,151583.0
2020-02-14,13.38,13.58,13.0,13.1,13.1,213336.0
2020-02-13,12.92,13.64,12.78,13.38,13.38,370025.0
2020-02-12,12.78,12.98,12.44,12.92,12.92,206695.0
2020-02-11,12.96,13.16,12.78,12.78,12.78,176487.0
2020-02-10,12.84,13.02,12.6,12.96,12.96,209947.0
2020-02-07,12.82,13.08,12.64,12.84,12.84,174008.0
2020-02-06,12.64,13.04,12.56,12.82,12.82,206711.0
2020-02-05,12.54,13.18,12.5,12.64,12.64,332528.0
2020-02-04,12.02,12.8,12.2,12.54,12.54,293329.0
2020-02-03,11.52,12.36,11.0,12.02,12.02,375836.0
2020-01-31,11.76,12.18,11.52,11.52,11.52,223263.0
2020-01-30,12.6,12.74,11.44,11.76,11.76,349187.0
2020-01-29,13.34,13.18,12.52,12.6,12.6,305450.0
2020-01-24,13.28,13.68,13.02,13.34,13.34,114577.0
2020-01-23,13.9,13.72,12.8,13.28,13.28,313410.0
2020-01-22,12.76,14.0,12.68,13.9,13.9,309520.0
2020-01-21,13.3,13.28,12.74,12.76,12.76,283025.0
2020-01-20,13.24,13.94,13.28,13.3,13.3,306786.0
2020-01-17,12.22,13.46,12.28,13.24,13.24,436142.0
2020-01-16,12.26,12.38,12.04,12.22,12.22,223206.0
2020-01-15,11.68,12.26,11.66,12.26,12.26,248326.0
2020-01-14,11.9,12.04,11.62,11.68,11.68,248618.0
2020-01-13,11.42,11.9,11.44,11.9,11.9,161151.0
2020-01-10,11.5,11.62,11.4,11.42,11.42,151578.0
2020-01-09,11.08,11.5,11.22,11.5,11.5,186855.0
2020-01-08,11.0,11.28,10.82,11.08,11.08,189314.0
2020-01-07,10.98,11.3,10.92,11.0,11.0,171287.0
2020-01-06,10.9,11.18,10.64,10.98,10.98,179640.0
2020-01-03,11.22,11.44,10.9,10.9,10.9,219547.0
2020-01-02,10.78,11.22,10.78,11.22,11.22,248889.0
2019-12-31,10.64,10.84,10.62,10.78,10.78,67507.0
2019-12-30,10.8,10.88,10.62,10.64,10.64,136167.0
2019-12-27,10.56,10.92,10.5,10.8,10.8,200338.0
2019-12-24,10.24,10.58,10.24,10.56,10.56,114541.0
2019-12-23,10.34,10.38,10.18,10.24,10.24,97229.0
2019-12-20,10.36,10.52,10.24,10.34,10.34,117326.0
2019-12-19,10.5,10.5,10.12,10.36,10.36,159328.0
2019-12-18,10.68,10.66,10.32,10.5,10.5,189803.0
2019-12-17,10.52,10.88,10.54,10.68,10.68,201591.0
2019-12-16,10.4,10.74,10.3,10.52,10.52,262631.0
2019-12-13,9.93,10.48,10.02,10.4,10.4,377450.0
2019-12-12,9.99,10.12,9.85,9.93,9.93,268008.0
2019-12-11,9.21,10.0,9.22,9.99,9.99,431132.0
2019-12-10,9.32,9.38,9.2,9.21,9.21,102673.0
2019-12-09,9.34,9.48,9.32,9.32,9.32,146800.0
2019-12-06,9.07,9.35,9.04,9.34,9.34,227487.0
2019-12-05,9.0,9.1,8.96,9.07,9.07,100317.0
2019-12-04,9.01,9.16,8.92,9.0,9.0,134748.0
2019-12-03,8.93,9.05,8.8,9.01,9.01,147326.0
2019-12-02,8.95,9.02,8.83,8.93,8.93,107413.0
2019-11-29,8.89,9.01,8.76,8.95,8.95,158850.0
2019-11-28,8.73,9.16,8.8,8.89,8.89,264912.0
2019-11-27,8.62,8.75,8.63,8.73,8.73,73595.0
2019-11-26,8.6,8.73,8.55,8.62,8.62,83452.0
2019-11-25,8.39,8.62,8.38,8.6,8.6,68856.0
2019-11-22,8.4,8.44,8.35,8.39,8.39,67758.0
2019-11-21,8.55,8.54,8.38,8.4,8.4,64050.0
2019-11-20,8.56,8.61,8.51,8.55,8.55,46261.0
2019-11-19,8.47,8.6,8.45,8.56,8.56,73454.0
2019-11-18,8.51,8.56,8.41,8.47,8.47,68444.0
2019-11-15,8.48,8.55,8.48,8.51,8.51,39869.0
2019-11-14,8.55,8.62,8.45,8.48,8.48,64143.0
2019-11-13,8.69,8.77,8.51,8.55,8.55,88558.0
2019-11-12,8.54,8.71,8.51,8.69,8.69,66151.0
2019-11-11,8.84,8.85,8.52,8.54,8.54,120421.0
2019-11-08,8.93,8.98,8.83,8.84,8.84,42667.0
2019-11-07,8.94,8.96,8.87,8.93,8.93,56436.0
2019-11-06,9.03,9.07,8.92,8.94,8.94,64363.0
2019-11-05,9.03,9.07,8.97,9.03,9.03,75441.0
2019-11-04,8.96,9.1,8.91,9.03,9.03,108020.0
2019-10-31,8.79,8.94,8.72,8.9,8.9,77795.0
2019-10-30,8.86,8.93,8.72,8.79,8.79,70443.0
2019-10-29,9.19,9.25,8.82,8.86,8.86,136425.0
2019-10-28,9.06,9.48,9.15,9.19,9.19,226791.0
2019-10-25,9.04,9.12,8.96,9.06,9.06,133396.0
2019-10-24,8.99,9.08,8.88,9.04,9.04,135745.0
2019-10-23,8.85,9.0,8.82,8.99,8.99,97748.0
2019-10-22,8.98,8.99,8.73,8.85,8.85,125667.0
2019-10-21,8.55,9.13,8.85,8.98,8.98,228779.0
2019-10-18,8.64,8.62,8.52,8.55,8.55,51111.0
2019-10-17,8.64,8.66,8.52,8.64,8.64,45955.0
2019-10-16,8.82,8.95,8.58,8.64,8.64,84718.0
2019-10-15,8.93,8.94,8.77,8.82,8.82,27352.0
2019-10-14,8.88,9.05,8.88,8.93,8.93,44549.0
2019-10-11,8.8,9.09,8.81,8.88,8.88,56246.0
2019-10-10,8.67,8.87,8.67,8.8,8.8,33263.0
2019-10-09,8.79,8.78,8.63,8.67,8.67,33660.0
2019-10-08,8.95,8.95,8.74,8.79,8.79,59037.0
2019-10-04,8.9,9.02,8.83,8.95,8.95,47256.0
2019-10-03,8.75,8.9,8.71,8.9,8.9,33318.0
2019-10-02,8.8,8.86,8.73,8.75,8.75,37139.0
2019-09-30,8.7,8.8,8.62,8.8,8.8,77375.0
2019-09-27,8.89,8.85,8.7,8.7,8.7,66667.0
2019-09-26,8.91,9.04,8.81,8.89,8.89,56616.0
2019-09-25,9.32,9.28,8.82,8.91,8.91,137591.0
2019-09-24,9.32,9.38,9.21,9.32,9.32,57713.0
2019-09-23,9.25,9.5,9.24,9.32,9.32,81553.0
2019-09-20,9.14,9.32,9.16,9.25,9.25,82893.0
2019-09-19,9.15,9.21,9.07,9.14,9.14,51150.0
2019-09-18,9.07,9.26,9.07,9.15,9.15,50554.0
2019-09-17,9.34,9.34,9.0,9.07,9.07,84137.0
